year,reported_month,region_of_origin,region_of_incident,country_of_origin,total_dead_and_missing,cause_of_death,migration_route,location_of_death,source,unsd_geographical_grouping,lat,lon
2014,1,13,5,99,1,33,Eastern Mediterranean,396,310,10,59.1551,28.0
2014,2,16,13,82,5,66,Sahara Desert crossing,813,821,13,7.0167471,100.4674982
2014,2,19,12,8,1,133,Afghanistan to Iran,949,244,15,25.1841,89.0
2014,3,19,13,15,5,132,Afghanistan to Iran,432,823,13,13.2353642,101.0
2014,3,19,13,82,2,132,Sahara Desert crossing,1274,554,13,9.96833,99.0
2014,3,11,3,25,251,15,Horn of Africa to Yemen crossing,1128,120,4,1.63236,31.0
2014,3,2,1,54,1,132,US-Mexico border crossing,526,421,2,16.2299602,-92.0
2014,4,5,3,109,17,15,Comoros to Mayotte,1150,76,4,-23.8148,32.0
2014,4,2,1,61,4,133,US-Mexico border crossing,1629,1064,2,16.242196,-94.0
2014,4,7,13,20,5,133,Horn of Africa to Yemen crossing,395,900,13,21.5928,107.0
2014,4,19,13,15,7,132,Afghanistan to Iran,38,893,13,13.3493133,101.0
2014,5,0,0,104,9,15,Dominican Republic to Puerto Rico,620,293,0,18.3079,-70.0
2014,5,19,13,82,1,132,Sahara Desert crossing,1707,1050,13,8.855529,98.0
2014,6,19,13,15,6,132,Afghanistan to Iran,821,824,13,13.6702361,101.0
2014,6,19,13,15,2,132,Afghanistan to Iran,1275,690,13,13.1394249,101.0
2014,7,10,1,104,1,132,Central America to US,507,919,2,18.130861,-95.0
2014,7,19,13,64,20,15,Horn of Africa to Yemen crossing,1605,119,13,6.35306,115.0
2014,7,25,12,104,1,33,Iran to Türkiye,1299,808,15,37.414959,48.122069
2014,8,10,1,104,1,132,US-Mexico border crossing,77,636,2,18.539117,-96.606006
2014,8,0,0,36,23,15,Dominican Republic to Puerto Rico,1273,293,0,18.3459,-67.8186
2014,8,2,1,43,64,52,US-Mexico border crossing,1257,963,2,19.1452,-101.074
2014,9,0,1,27,2,15,Caribbean to US,2614,934,2,21.897364,-88.384764
2014,9,2,1,104,1,132,US-Mexico border crossing,2281,772,2,18.600776,-98.463359
2014,9,7,4,20,9,15,Horn of Africa to Yemen crossing,1595,195,5,22.2344,114.0
2014,10,10,1,104,1,132,US-Mexico border crossing,2019,650,2,30.5398333,-111.1196215
2014,10,23,13,104,4,15,Horn of Africa to Yemen crossing,2228,966,13,9.00988,98.2892
2014,10,2,1,54,41,52,US-Mexico border crossing,2516,859,2,23.6345,-102.553
2014,12,16,13,104,750,52,Sahara Desert crossing,573,1168,13,14.60759586,93.21449103
2015,1,5,3,49,1,133,Horn of Africa to Yemen crossing,685,862,4,11.886603,41.998129
2015,1,5,3,96,2,33,Horn of Africa to Yemen crossing,1561,862,4,11.9647465,43.288407
2015,1,6,18,104,1,52,Horn of Africa to Yemen crossing,2191,627,19,13.5775886,44.017799
2015,1,6,18,104,1,52,Horn of Africa to Yemen crossing,1127,627,19,13.5697,44.0146
2015,1,16,13,82,3,133,Sahara Desert crossing,973,965,13,8.111574,98.448911
2015,1,0,0,27,1,15,Caribbean to US,2488,186,0,19.2696881,-81.392199
2015,1,28,5,100,1,33,Eastern Mediterranean,2440,46,16,41.1689113,21.528736
2015,1,5,3,109,2,15,Comoros to Mayotte,1149,1088,4,-23.6499447,30.120909
2015,1,16,13,82,1,133,Sahara Desert crossing,2388,133,13,7.2502406,100.338316
2015,1,16,13,82,2,33,Sahara Desert crossing,884,865,13,8.5822981,99.22492
2015,1,19,13,15,6,132,Afghanistan to Iran,239,973,13,18.0013744,101.082491
2015,1,2,1,60,1,133,US-Mexico border crossing,794,697,2,18.056331,-93.084468
2015,1,2,1,60,1,133,US-Mexico border crossing,1509,475,2,17.983326,-92.916667
2015,1,2,1,43,1,132,US-Mexico border crossing,840,929,2,17.875807,-93.151203
2015,1,16,13,8,57,15,Afghanistan to Iran,263,1228,13,17.61569445,93.010777
2015,1,23,9,104,1,133,Sahara Desert crossing,113,808,8,30.404114,19.565918
2015,2,2,1,60,1,52,US-Mexico border crossing,1114,976,2,14.633328,-92.133327
2015,2,8,4,104,15,15,Horn of Africa to Yemen crossing,1449,677,5,22.198745,113.543873
2015,2,23,9,104,5,133,Afghanistan to Iran,2192,808,8,32.82678851,13.418913
2015,3,2,1,60,1,15,US-Mexico border crossing,466,697,2,17.480292,-91.720399
2015,3,14,1,37,1,52,US-Mexico border crossing,445,459,2,19.682152,-101.169727
2015,3,10,1,104,1,15,US-Mexico border crossing,2599,1058,2,17.4987,-91.9804
2015,3,2,1,54,9,52,US-Mexico border crossing,343,942,2,23.9184477,-99.007484
2015,3,10,1,62,6,132,US-Mexico border crossing,2180,1063,2,17.9477122,-93.680034
2015,3,0,1,34,1,52,US-Mexico border crossing,18,991,2,23.692761,-100.625276
2015,3,23,9,104,1,133,Sahara Desert crossing,2389,808,8,32.849232,13.1648
2015,3,23,9,104,2,133,Sahara Desert crossing,2389,808,8,32.875003,13.214771
2015,3,16,13,82,243,52,Sahara Desert crossing,263,1168,13,17.64473,92.46209
2015,3,16,13,82,130,15,Horn of Africa to Yemen crossing,264,95,13,13.498141,89.487406
2015,4,6,3,104,1,133,Horn of Africa to Yemen crossing,943,862,4,-6.744507,39.314697
2015,4,6,3,104,2,66,Sahara Desert crossing,1193,862,4,-25.899597,32.609314
2015,4,6,3,104,4,133,Sahara Desert crossing,809,862,4,-17.833191,31.032288
2015,4,0,0,59,40,15,Caribbean to US,401,1122,0,19.8017484,-72.286631
2015,4,0,0,26,3,15,Caribbean to US,2613,1145,0,25.14497061,-77.698404
2015,4,6,3,104,1,52,Sahara Desert crossing,2573,862,4,-22.1876758,29.926539
2015,4,6,3,104,1,33,Horn of Africa to Yemen crossing,305,862,4,9.915894,44.647095
2015,4,10,1,104,1,132,US-Mexico border crossing,1822,924,2,26.213257,-100.156984
2015,4,6,3,104,1,132,Sahara Desert crossing,1041,862,4,17.701111,38.369873
